   0)   Xorg-1758    |   2.563 us    |                    }
   0)   Xorg-1758    |               |                    native_smp_send_reschedule() {
   0)   Xorg-1758    | + 44.464 us   |                      x2apic_send_IPI();
   0)   Xorg-1758    | + 45.252 us   |                    }
   0)   Xorg-1758    |   0.259 us    |                    _raw_spin_unlock_irqrestore();
   0)   Xorg-1758    | + 49.808 us   |                  }
   0)   Xorg-1758    | + 50.196 us   |                }
   0)   Xorg-1758    | + 50.489 us   |              }
   0)   Xorg-1758    |               |              ep_poll_callback() {
   0)   Xorg-1758    |   0.564 us    |                _raw_read_lock_irqsave();
   0)   Xorg-1758    |               |                __wake_up() {
   0)   Xorg-1758    |               |                  __wake_up_common_lock() {
   0)   Xorg-1758    |   0.094 us    |                    _raw_spin_lock_irqsave();
   0)   Xorg-1758    |               |                    __wake_up_common() {
   0)   Xorg-1758    |               |                      autoremove_wake_function() {
   0)   Xorg-1758    |               |                        default_wake_function() {
   0)   Xorg-1758    |               |                          try_to_wake_up() {
   0)   Xorg-1758    |   0.369 us    |                            _raw_spin_lock_irqsave();
   0)   Xorg-1758    |               |                            select_task_rq_fair() {
   0)   Xorg-1758    |               |                              select_idle_sibling() {
   0)   Xorg-1758    |   0.209 us    |                                available_idle_cpu();
   0)   Xorg-1758    |   0.133 us    |                                select_idle_sibling.part.0();
   0)   Xorg-1758    |   0.761 us    |                              }
   0)   Xorg-1758    |   1.259 us    |                            }
   0)   Xorg-1758    |               |                            native_smp_send_reschedule() {
   0)   Xorg-1758    | + 49.049 us   |                              x2apic_send_IPI();
   0)   Xorg-1758    | + 49.687 us   |                            }
   0)   Xorg-1758    |   0.214 us    |                            _raw_spin_unlock_irqrestore();
   0)   Xorg-1758    | + 52.256 us   |                          }
   0)   Xorg-1758    | + 52.451 us   |                        }
   0)   Xorg-1758    | + 52.731 us   |                      }
   0)   Xorg-1758    | + 53.207 us   |                    }
   0)   Xorg-1758    |   0.119 us    |                    _raw_spin_unlock_irqrestore();
   0)   Xorg-1758    | + 53.803 us   |                  }
   0)   Xorg-1758    | + 54.065 us   |                }
   0)   Xorg-1758    |   0.122 us    |                _raw_read_unlock_irqrestore();
   0)   Xorg-1758    | + 55.480 us   |              }
   0)   Xorg-1758    | ! 106.965 us  |            }
   0)   Xorg-1758    |   0.099 us    |            _raw_spin_unlock_irqrestore();
   0)   Xorg-1758    | ! 107.548 us  |          }
   0)   Xorg-1758    | ! 107.932 us  |        }
   0)   Xorg-1758    |   0.133 us    |        _raw_spin_unlock_irqrestore();
   0)   Xorg-1758    |   0.092 us    |        _raw_spin_lock_irqsave();
   0)   Xorg-1758    |   0.094 us    |        kernfs_get();
   0)   Xorg-1758    |               |        queue_work_on() {
   0)   Xorg-1758    |               |          __queue_work() {
   0)   Xorg-1758    |   0.598 us    |            get_work_pool();
   0)   Xorg-1758    |   0.165 us    |            _raw_spin_lock();
   0)   Xorg-1758    |   0.203 us    |            _raw_spin_lock();
   0)   Xorg-1758    |               |            insert_work() {
   0)   Xorg-1758    |               |              wake_up_process() {
   0)   Xorg-1758    |               |                try_to_wake_up() {
   0)   Xorg-1758    |   0.398 us    |                  _raw_spin_lock_irqsave();
   0)   Xorg-1758    |   0.100 us    |                  _raw_spin_lock();
   0)   Xorg-1758    |   0.105 us    |                  update_rq_clock();
   0)   Xorg-1758    |               |                  ttwu_do_activate() {
   0)   Xorg-1758    |               |                    activate_task() {
   0)   Xorg-1758    |               |                      psi_task_change() {
   0)   Xorg-1758    |   0.131 us    |                        record_times();
   0)   Xorg-1758    |   0.572 us    |                      }
   0)   Xorg-1758    |               |                      enqueue_task_fair() {
   0)   Xorg-1758    |               |                        enqueue_entity() {
   0)   Xorg-1758    |               |                          update_curr() {
   0)   Xorg-1758    |   0.252 us    |                            update_min_vruntime();
   0)   Xorg-1758    |   0.473 us    |                          }
   0)   Xorg-1758    |               |                          __update_load_avg_se() {
   0)   Xorg-1758    |   0.112 us    |                            __accumulate_pelt_segments();
   0)   Xorg-1758    |   0.380 us    |                          }
   0)   Xorg-1758    |   0.115 us    |                          __update_load_avg_cfs_rq();
   0)   Xorg-1758    |   0.092 us    |                          update_cfs_group();
   0)   Xorg-1758    |   0.180 us    |                          account_entity_enqueue();
   0)   Xorg-1758    |   0.121 us    |                          place_entity();
   0)   Xorg-1758    |   0.140 us    |                          __enqueue_entity();
   0)   Xorg-1758    |   2.396 us    |                        }
   0)   Xorg-1758    |   0.090 us    |                        hrtick_update();
   0)   Xorg-1758    |   2.795 us    |                      }
   0)   Xorg-1758    |   3.731 us    |                    }
   0)   Xorg-1758    |               |                    ttwu_do_wakeup() {
   0)   Xorg-1758    |               |                      check_preempt_curr() {
   0)   Xorg-1758    |               |                        check_preempt_wakeup() {
   0)   Xorg-1758    |   0.101 us    |                          update_curr();
   0)   Xorg-1758    |   0.099 us    |                          wakeup_preempt_entity.isra.0();
   0)   Xorg-1758    |   0.505 us    |                        } /* check_preempt_wakeup */
   0)   Xorg-1758    |   0.715 us    |                      }
   0)   Xorg-1758    |   1.219 us    |                    }
   0)   Xorg-1758    |   5.239 us    |                  }
   0)   Xorg-1758    |   0.099 us    |                  _raw_spin_unlock_irqrestore();
   0)   Xorg-1758    |   6.686 us    |                }
   0)   Xorg-1758    |   7.205 us    |              }
   0)   Xorg-1758    |   7.406 us    |            }
   0)   Xorg-1758    |   9.083 us    |          }
   0)   Xorg-1758    |   9.394 us    |        }
   0)   Xorg-1758    |   0.101 us    |        _raw_spin_unlock_irqrestore();
   0)   Xorg-1758    | ! 119.363 us  |      }
   0)   Xorg-1758    |   0.107 us    |      kernfs_put();
   0)   Xorg-1758    | ! 804.996 us  |    } /* sysfs_notify */
   0)   Xorg-1758    |               |    set_origin() {
   0)   Xorg-1758    |   0.251 us    |      is_console_locked();
   0)   Xorg-1758    |               |      con_is_visible() {
   0)   Xorg-1758    |   0.092 us    |        is_console_locked();
   0)   Xorg-1758    |   0.488 us    |      }
   0)   Xorg-1758    |   0.208 us    |      fbcon_set_origin();
   0)   Xorg-1758    |   1.912 us    |    }
   0)   Xorg-1758    |               |    fbcon_switch() {
   0)   Xorg-1758    |               |      display_to_var() {
   0)   Xorg-1758    |   0.527 us    |        fb_videomode_to_var();
   0)   Xorg-1758    |   0.853 us    |      }
   0)   Xorg-1758    |   0.196 us    |      fb_set_var();
   0)   Xorg-1758    |               |      set_blitting_type() {
   0)   Xorg-1758    |   0.093 us    |        fbcon_set_bitops();
   0)   Xorg-1758    |   0.395 us    |      }
   0)   Xorg-1758    |   0.104 us    |      fb_get_color_depth();
   0)   Xorg-1758    |   0.127 us    |      updatescrollmode.isra.0();
   0)   Xorg-1758    |   0.105 us    |      fbcon_set_palette();
   0)   Xorg-1758    |   0.101 us    |      fbcon_clear_margins();
   0)   Xorg-1758    |   4.665 us    |    }
   0)   Xorg-1758    |               |    set_palette() {
   0)   Xorg-1758    |   0.096 us    |      is_console_locked();
   0)   Xorg-1758    |   0.097 us    |      fbcon_set_palette();
   0)   Xorg-1758    |   0.856 us    |    }
   0)   Xorg-1758    |               |    do_update_region() {
   0)   Xorg-1758    |   0.096 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.106 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.106 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.108 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.098 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.097 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.098 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.097 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.097 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.099 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.107 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.318 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.098 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.104 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.098 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.098 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.099 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.097 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.109 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.097 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.089 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.090 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.097 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.107 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.101 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.099 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.091 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.109 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
